snomedcode,snomedcode_count,term,include,RM_16category,RM_5 category,notes,,2021 Census Categories,,,,,,,,,,,,,
9.2781E+13,3186,Malaysian - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
312859007,1886,Vietnamese,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2661E+13,1668,East African Asian - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
38361009,1103,Koreans,1,Other Asian,3,,,,,,,,,,,,,,,,
186044009,1017,South East Asian,1,Other Asian,3,,,,,,,,,,,,,,,,
185996002,771,Black - other Asian,1,Other Asian,3,,,,,,,,,,,,,,,,
186012005,750,Indian sub-continent (NMO),1,Other Asian,3,,,,,,,,,,,,,,,,
9.77771E+14,670,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,1,Other Asian,3,,,,,,,,,,,,,,,,
69865008,464,Fijian,1,Other Asian,3,,,,,,,,,,,,,,,,
414551003,305,Japanese,1,Other Asian,3,,,,,,,,,,,,,,,,
1.10781E+14,290,Sinhalese - ethnic category 2001 census,1,Other Asian,3,,,,,,,,,,,,,,,,
275596000,269,East African Asian (NMO),1,Other Asian,3,,,,,,,,,,,,,,,,
9.78211E+14,221,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,1,Other Asian,3,,,,,,,,,,,,,,,,
414978006,159,Oriental,1,Other Asian,3,erm.,,,,,,,,,,,,,,,
275589002,158,Black East African Asian,1,Other Asian,3,,,,,,,,,,,,,,,,
9.2461E+13,505274,Pakistani or British Pakistani - ethnic category 2001 census,1,Pakistani,3,,,,,,,,,,,,,,,,
186002003,92518,Pakistani,1,Pakistani,3,,,,,,,,,,,,,,,,
9.76811E+14,5036,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,1,Pakistani,3,,,,,,,,,,,,,,,,
9.77711E+14,2015,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census,1,Pakistani,3,,,,,,,,,,,,,,,,
9.2651E+13,930,Kashmiri - ethnic category 2001 census,1,Pakistani,3,*obviously fraught!,,,,,,,,,,,,,,,
9.78071E+14,798,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",1,Pakistani,3,,,,,,,,,,,,,,,,
9.2491E+13,333841,African - ethnic category 2001 census,1,African,4,,,,,,,,,,,,,,,,
18167009,118629,Black African,1,African,4,,,,,,,,,,,,,,,,
9.2711E+13,16378,Somali - ethnic category 2001 census,1,African,4,*Somalia is in the Arab league but not strictly an Arab country https://rethinkingschools.org/special-collections/facts-about-arabs-2/,,,,,,,,,,,,,,,
9.2731E+13,9685,Nigerian - ethnic category 2001 census,1,African,4,,,,,,,,,,,,,,,,
186010002,1174,Other African countries (NMO),1,African,4,,,,,,,,,,,,,,,,
9.78231E+14,463,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",1,African,4,,,,,,,,,,,,,,,,
9.77791E+14,401,Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census,1,African,4,,,,,,,,,,,,,,,,
275586009,245,Black North African,1,African,4,,,,,,,,,,,,,,,,
9.78251E+14,136,African: any other African - Scotland ethnic category 2011 census,1,African,4,,,,,,,,,,,,,,,,
9.4061E+13,4556,North African - ethnic category 2001 census,1,African,4,,,,,,,,,,,,,,,,
1.07691E+14,105283,Caribbean - ethnic category 2001 census,1,Caribbean,4,,,,,,,,,,,,,,,,
